date;value;change;inInterest;outInterest
2022-11-30;2.50;0.75;2.40;2.60
2022-09-21;1.75;1.00;1.65;1.85
2022-07-06;0.75;0.50;0.65;0.85
2022-06-08;0.25;0.00;0.15;0.35
2022-05-04;0.25;0.25;0.15;0.35	
2022-02-16;0.00;0.00;-0.10;0.10	
2021-12-01;0.00;0.00;-0.10;0.10	
2021-09-22;0.00;0.00;-0.10;0.10	
2021-07-07;0.00;0.00;-0.10;0.10	
2021-04-28;0.00;0.00;-0.10;0.10	
2021-02-17;0.00;0.00;-0.10;0.10	
2020-12-02;0.00;0.00;-0.10;0.10	
2020-09-23;0.00;0.00;-0.10;0.10	
2020-07-08;0.00;0.00;-0.10;0.10	
2020-04-29;0.00;0.00;-0.10;0.20	
2020-03-18;0.00;0.00;-0.10;0.20	
2020-02-19;0.00;0.00;-0.10;0.75	
2020-01-08;0.00;0.25;-0.10;0.75	
2019-10-30;-0.25;0.00;-0.35;0.50	
2019-09-11;-0.25;0.00;-1.00;0.50	
2019-07-10;-0.25;0.00;-1.00;0.50	
2019-05-08;-0.25;0.00;-1.00;0.50	
2019-02-20;-0.25;0.00;-1.00;0.50	
2019-01-09;-0.25;0.25;-1.00;0.50	
2018-10-31;-0.50;0.00;-1.25;0.25	
2018-09-12;-0.50;0.00;-1.25;0.25	
2018-07-04;-0.50;0.00;-1.25;0.25	
2018-05-02;-0.50;0.00;-1.25;0.25	
2018-02-21;-0.50;0.00;-1.25;0.25	
2018-01-03;-0.50;0.00;-1.25;0.25	
2017-11-01;-0.50;0.00;-1.25;0.25	
2017-09-13;-0.50;0.00;-1.25;0.25	
2017-07-05;-0.50;0.00;-1.25;0.25	
2017-05-03;-0.50;0.00;-1.25;0.25	
2017-02-22;-0.50;0.00;-1.25;0.25	
2016-12-28;-0.50;0.00;-1.25;0.25	
2016-11-02;-0.50;0.00;-1.25;0.25	
2016-09-14;-0.50;0.00;-1.25;0.25	
2016-07-13;-0.50;0.00;-1.25;0.25	
2016-04-27;-0.50;0.00;-1.25;0.25	
2016-02-17;-0.50;-0.15;-1.25;0.25	
2015-12-16;-0.35;0.00;-1.10;0.40	
2015-11-04;-0.35;0.00;-1.10;0.40	
2015-09-09;-0.35;0.00;-1.10;0.40	
2015-07-08;-0.35;-0.10;-1.10;0.40	
2015-05-06;-0.25;0.00;-1.00;0.50	
2015-03-25;-0.25;-0.15;-1.00;0.50	
2015-02-18;-0.10;-0.10;-0.85;0.65	
2014-12-17;0.00;0.00;-0.75;0.75	
2014-10-29;0.00;-0.25;-0.75;0.75	
2014-09-10;0.25;0.00;-0.50;1.00	
2014-07-09;0.25;-0.50;-0.50;1.00	
2014-04-16;0.75;0.00;0.00;1.50	
2014-02-19;0.75;0.00;0.00;1.50	
2013-12-18;0.75;-0.25;0.00;1.50	
2013-10-30;1.00;0.00;0.25;1.75	
2013-09-11;1.00;0.00;0.25;1.75	
2013-07-10;1.00;0.00;0.25;1.75	
2013-04-24;1.00;0.00;0.25;1.75	
2013-02-20;1.00;0.00;0.25;1.75	
2012-12-19;1.00;-0.25;0.25;1.75	
2012-10-31;1.25;0.00;0.50;2.00	
2012-09-12;1.25;-0.25;0.50;2.00	
2012-07-11;1.50;0.00;0.75;2.25	
2012-04-25;1.50;0.00;0.75;2.25	
2012-02-22;1.50;-0.25;0.75;2.25
